 ,Label,Area,Mean,Min,Max,MinThr,MaxThr
12428,C1-A1-1.tif:12428-04151,111.911,5705.955,2991,47622,0,65535
12429,C1-A1-1.tif:12429-04154,104.422,2214.474,1934,2520,0,65535
12430,C1-A1-1.tif:12430-04147,48.675,2870.103,2623,3113,0,65535
12431,C1-A1-1.tif:12431-04149,61.988,1597.161,1398,1772,0,65535
12432,C1-A1-1.tif:12432-04148,107.335,4179.814,2388,26774,0,65535
12433,C1-A1-1.tif:12433-04150,124.808,2035.230,1704,4271,0,65535
12434,C1-A1-1.tif:12434-04152,179.307,5979.708,2041,21613,0,65535
12435,C1-A1-1.tif:12435-04154,216.749,11726.910,2726,65535,0,65535
12436,C1-A1-1.tif:12436-04165,640.679,13190.870,3106,65535,0,65535
12437,C1-A1-1.tif:12437-04172,716.812,4013.566,3035,13845,0,65535
12438,C1-A1-1.tif:12438-04151,92.358,3047.874,2759,3342,0,65535
12439,C1-A1-1.tif:12439-04151,94.022,12275.929,3315,57614,0,65535
12440,C1-A1-1.tif:12440-04152,163.498,3027.863,2720,3360,0,65535
12441,C1-A1-1.tif:12441-04149,100.262,2818.921,2539,3147,0,65535
12442,C1-A1-1.tif:12442-04149,96.102,2840.576,2410,3102,0,65535
12443,C1-A1-1.tif:12443-04155,302.034,2968.521,2513,5092,0,65535
12444,C1-A1-1.tif:12444-04152,88.613,2814.070,2411,3939,0,65535
12445,C1-A1-1.tif:12445-04154,95.686,3168.404,2926,3486,0,65535
12446,C1-A1-1.tif:12446-04149,62.404,23344.967,3779,65535,0,65535
12447,C1-A1-1.tif:12447-04150,43.267,3188.740,2872,3510,0,65535
12448,C1-A1-1.tif:12448-04153,114.407,1851.618,1602,2045,0,65535
12449,C1-A1-1.tif:12449-04160,220.909,2222.113,1889,2772,0,65535
12450,C1-A1-1.tif:12450-04153,161.834,2546.679,2250,2925,0,65535
12451,C1-A1-1.tif:12451-04160,327.828,2559.204,2275,2916,0,65535
